timestamp,DXL_PWM,DXL_Current,DXL_Velocity,θ(t),DXL_Input_Voltage,U
12.4,-0.13447,-0.32280000000000003,1.390887787499321,-0.07644542123735183,11.9,-1.6001930000000002
12.42,-0.27233,-0.29858999999999997,0.9832137808184854,-0.07644542123735183,11.9,-3.240727
12.44,-0.39889,-0.25286,0.527578126292846,-0.08566075968788163,11.9,-4.746791
12.46,-0.4972,-0.18561,0.023980823922402087,-0.10409143658894189,11.9,-5.9166799999999995
12.48,-0.58421,-0.18561,-0.43165483060323756,-0.13020156219877718,11.9,-6.9520990000000005
12.5,-0.6633100000000001,-0.19099000000000002,-0.8633096612064751,-0.16245524677563225,11.9,-7.893389000000001
12.52,-0.73111,-0.18023,-1.2230220200425064,-0.19778071083599755,11.9,-8.700209000000001
12.540000000000001,-0.78535,-0.16947,-1.5107919071113316,-0.23617795437987282,11.9,-9.345665
12.56,-0.81699,-0.15871000000000002,-1.7745809702577546,-0.2837905363742782,11.9,-9.722181
12.58,-0.83281,-0.1345,-1.9904083855593735,-0.32986722862692847,11.9,-9.910439
12.6,-0.8362,-0.1076,-2.1582741530161877,-0.3774798106213336,11.9,-9.950780000000002
12.620000000000001,-0.8282900000000001,-0.10222,-2.3021590965506005,-0.42662828235749395,11.9,-9.856651000000001
12.64,-0.8136,-0.09415,-2.3741015683178066,-0.4742408643518992,11.9,-9.68184
12.66,-0.78535,-0.08608,-2.398082392240209,-0.5233893360880596,11.9,-9.345665
12.68,-0.73789,-0.07263,-2.398082392240209,-0.5694660283407098,11.9,-8.780891
12.700000000000001,-0.6779999999999999,-0.05649,-2.3501207443954044,-0.6124709411098502,11.9,-8.0682
12.72,-0.61472,-0.03497,-2.254197448705796,-0.6524040743954805,11.9,-7.315168000000001
12.74,-0.5401400000000001,-0.0269,-2.134293329093786,-0.6892654281976006,11.9,-6.427666000000001
12.76,-0.45313000000000003,-0.01076,-1.9664275616369709,-0.7199832230327008,11.9,-5.392247
12.780000000000001,-0.36725,-0.00807,-1.7745809702577546,-0.7460933486425361,11.9,-4.370275
12.8,-0.28024,-0.00538,-1.5587535549561355,-0.7675958050271063,11.9,-3.334856
12.82,-0.19323,-0.00269,-1.3189453157321147,-0.7829547024446561,11.9,-2.299437
12.84,-0.11074,-0.00269,-1.055156252585692,-0.7921700408951865,11.9,-1.317806
12.86,-0.04407,-0.01345,-0.7673863655168668,-0.7967777101204514,11.9,-0.524433
12.88,0.01921,-0.00807,-0.4796164784480418,-0.7967777101204514,11.9,0.22859900000000002
12.9,0.07797000000000001,-0.01076,-0.21582741530161878,-0.7921700408951865,11.9,0.9278430000000002
12.92,0.12204000000000001,-0.01614,0.0,-0.7829547024446561,11.9,1.4522760000000001
12.94,0.15255000000000002,-0.024210000000000002,0.1918465913792167,-0.7737393639941264,11.9,1.8153450000000002
12.96,0.16498000000000002,-0.04304,0.3597123588360313,-0.7599163563183309,11.9,1.9632620000000003
12.98,0.16498000000000002,-0.06725,0.5035973023704439,-0.744557458900781,11.9,1.9632620000000003
13.0,0.15707000000000002,-0.08339,0.5995205980600522,-0.7307344512249858,11.9,1.8691330000000002
13.02,0.14464,-0.08877,0.6714630698272585,-0.7153755538074359,11.9,1.7212159999999999
13.040000000000001,0.15255000000000002,-0.08070000000000001,0.7194247176720626,-0.7000166563898857,11.9,1.8153450000000002
13.06,0.16498000000000002,-0.06725,0.7194247176720626,-0.6861936487140906,11.9,1.9632620000000003
13.08,0.17289000000000002,-0.0538,0.7194247176720626,-0.6708347512965407,11.9,2.0573910000000004
13.1,0.18419,-0.05111,0.7194247176720626,-0.6554758538789904,11.9,2.191861
13.120000000000001,0.19210000000000002,-0.05649,0.7194247176720626,-0.6416528462031954,11.9,2.2859900000000004
13.14,0.19210000000000002,-0.061869999999999994,0.7434055415944647,-0.6247580590438903,11.9,2.2859900000000004
13.16,0.18419,-0.07263,0.7673863655168668,-0.6078632718845853,11.9,2.191861
13.18,0.17289000000000002,-0.07801000000000001,0.791367189439269,-0.5909684847252801,11.9,2.0573910000000004
13.200000000000001,0.15707000000000002,-0.08070000000000001,0.791367189439269,-0.5756095873077299,11.9,1.8691330000000002
13.22,0.13673,-0.08877,0.791367189439269,-0.5602506898901799,11.9,1.627087
13.24,0.11413000000000001,-0.09146,0.7673863655168668,-0.5479635719561397,11.9,1.3581470000000002
13.26,0.09379,-0.08877,0.7194247176720626,-0.5356764540220996,11.9,1.116101
13.280000000000001,0.07797000000000001,-0.08608,0.6714630698272585,-0.5249252258298145,11.9,0.9278430000000002
13.3,0.06667,-0.07801000000000001,0.5995205980600522,-0.5157098873792845,11.9,0.793373
13.32,0.05876000000000001,-0.06994,0.527578126292846,-0.5080304386705096,11.9,0.6992440000000001
13.34,0.04746,-0.06456,0.45563565452563964,-0.5003509899617344,11.9,0.564774
13.36,0.03955,-0.061869999999999994,0.4076740066808355,-0.49420743099471454,11.9,0.47064500000000004
13.38,0.03164,-0.06456,0.3597123588360313,-0.48652798228593946,11.9,0.376516
13.4,0.02373,-0.061869999999999994,0.3357315349136292,-0.48192031306067423,11.9,0.282387
13.42,0.01921,-0.059179999999999996,0.28776988706882506,-0.47731264383540917,11.9,0.22859900000000002
13.44,0.01921,-0.059179999999999996,0.263789063146423,-0.4727049746101442,11.9,0.22859900000000002
13.46,0.01921,-0.0538,0.2398082392240209,-0.4680973053848795,11.9,0.22859900000000002
13.48,0.01582,-0.0538,0.21582741530161878,-0.463489636159614,11.9,0.188258
13.5,0.01921,-0.048420000000000005,0.1918465913792167,-0.4604178566761042,11.9,0.22859900000000002
13.52,0.02373,-0.048420000000000005,0.1918465913792167,-0.45581018745083923,11.9,0.282387
13.540000000000001,0.01921,-0.048420000000000005,0.1918465913792167,-0.45120251822557417,11.9,0.22859900000000002
13.56,0.01921,-0.04573,0.1918465913792167,-0.44813073874206416,11.9,0.22859900000000002
13.58,0.03164,-0.040350000000000004,0.1918465913792167,-0.4435230695167992,11.9,0.376516
13.6,0.042940000000000006,-0.03497,0.1918465913792167,-0.43891540029153414,11.9,0.510986
13.620000000000001,0.05085,-0.03228,0.1918465913792167,-0.4343077310662689,11.9,0.605115
13.64,0.05876000000000001,-0.029589999999999998,0.21582741530161878,-0.42816417209924906,11.9,0.6992440000000001
13.66,0.07006,-0.029589999999999998,0.21582741530161878,-0.4235565028739839,11.9,0.833714
13.68,0.09040000000000001,-0.01614,0.263789063146423,-0.4158770541652089,11.9,1.07576
13.700000000000001,0.10961,-0.01614,0.28776988706882506,-0.40819760545643385,11.9,1.304359
13.72,0.13334,-0.00538,0.3357315349136292,-0.40051815674765884,11.9,1.586746
13.74,0.16837,0.0,0.3836931827584334,-0.38976692855537387,11.9,2.003603
13.76,0.20792000000000002,0.00807,0.43165483060323756,-0.3774798106213336,11.9,2.4742480000000002
13.780000000000001,0.25538,0.01614,0.5035973023704439,-0.3651926926872937,11.9,3.039022
13.8,0.31074999999999997,0.03228,0.5995205980600522,-0.3482979055279885,11.9,3.6979249999999997
13.82,0.37742000000000003,0.0538,0.7194247176720626,-0.32986722862692847,11.9,4.4912980000000005
13.84,0.47234000000000004,0.08339,0.839328837284073,-0.3052929927588482,11.9,5.620846
