timestamp,DXL_PWM,DXL_Current,ω(t),θ(t),DXL_Input_Voltage,U
114.08,0.13447,0.08608,0.07194247176720626,0.25816910295500134,11.9,1.6001930000000002
114.10000000000001,0.1356,0.07263,0.09592329568960835,0.2612408824385111,11.9,1.61364
114.12,0.12995,0.059179999999999996,0.14388494353441253,0.26738444140553114,11.9,1.5464050000000003
114.14,0.11639000000000001,0.04573,0.1918465913792167,0.2719921106307964,11.9,1.3850410000000002
114.16,0.09831,0.03228,0.21582741530161878,0.27659977985606116,11.9,1.169889
114.18,0.07684,0.0269,0.21582741530161878,0.27967155933957116,11.9,0.9143960000000001
114.2,0.0565,0.01614,0.1918465913792167,0.28274333882308134,11.9,0.67235
114.22,0.03955,0.02152,0.14388494353441253,0.28274333882308134,11.9,0.47064500000000004
114.24000000000001,0.02825,0.0269,0.09592329568960835,0.28274333882308134,11.9,0.336175
114.26,0.02373,0.024210000000000002,0.047961647844804174,0.28274333882308134,11.9,0.282387
114.28,0.027120000000000002,0.024210000000000002,0.0,0.28274333882308134,11.9,0.322728
114.3,0.037290000000000004,0.029589999999999998,0.0,0.28274333882308134,11.9,0.44375100000000006
114.32000000000001,0.054240000000000003,0.048420000000000005,0.0,0.28120744908132633,11.9,0.645456
114.34,0.07345,0.06994,0.0,0.28274333882308134,11.9,0.874055
114.36,0.09266,0.08339,0.0,0.28274333882308134,11.9,1.102654
114.38,0.11074,0.09684000000000001,0.0,0.2842792285648364,11.9,1.317806
114.4,0.12204000000000001,0.09684000000000001,0.023980823922402087,0.28581511830659134,11.9,1.4522760000000001
114.42,0.12769,0.08877,0.047961647844804174,0.2888868977901012,11.9,1.519511
114.44,0.12543,0.08070000000000001,0.09592329568960835,0.29349456701536664,11.9,1.4926170000000003
114.46000000000001,0.11526,0.059179999999999996,0.11990411961201045,0.29656634649887664,11.9,1.371594
114.48,0.09831,0.04573,0.14388494353441253,0.2996381259823866,11.9,1.169889
114.5,0.07797000000000001,0.040350000000000004,0.1678657674568146,0.30270990546589616,11.9,0.9278430000000002
114.52,0.05537,0.0269,0.14388494353441253,0.3042457952076514,11.9,0.658903
114.54,0.03503,0.024210000000000002,0.11990411961201045,0.3057816849494064,11.9,0.416857
114.56,0.01808,0.01614,0.07194247176720626,0.3057816849494064,11.9,0.21515199999999998
114.58,0.00791,0.01345,0.023980823922402087,0.3042457952076514,11.9,0.094129
114.60000000000001,0.00452,0.01614,0.0,0.3042457952076514,11.9,0.053787999999999996
114.62,0.00904,0.01614,-0.023980823922402087,0.30270990546589616,11.9,0.10757599999999999
114.64,0.021470000000000003,0.0269,-0.023980823922402087,0.3011740157241414,11.9,0.255493
114.66,0.037290000000000004,0.03497,-0.047961647844804174,0.3011740157241414,11.9,0.44375100000000006
114.68,0.0565,0.05111,-0.047961647844804174,0.2996381259823866,11.9,0.67235
114.7,0.07458000000000001,0.07263,-0.023980823922402087,0.2996381259823866,11.9,0.8875020000000001
114.72,0.08927,0.07801000000000001,0.0,0.3011740157241414,11.9,1.062313
114.74000000000001,0.09831,0.08608,0.0,0.30270990546589616,11.9,1.169889
114.76,0.10057,0.08877,0.023980823922402087,0.3042457952076514,11.9,1.1967830000000002
114.78,0.09492,0.07263,0.047961647844804174,0.3042457952076514,11.9,1.129548
114.8,0.08136000000000002,0.059179999999999996,0.047961647844804174,0.3073175746911616,11.9,0.9681840000000003
114.82000000000001,0.06215,0.04573,0.07194247176720626,0.3088534644329164,11.9,0.7395849999999999
114.84,0.03955,0.03497,0.07194247176720626,0.31038935417467167,11.9,0.47064500000000004
114.86,0.01695,0.01614,0.047961647844804174,0.3088534644329164,11.9,0.201705
114.88,-0.0033900000000000002,0.00538,0.023980823922402087,0.3073175746911616,11.9,-0.040341
114.9,-0.01921,0.01076,0.0,0.3073175746911616,11.9,-0.22859900000000002
114.92,-0.027120000000000002,0.01345,-0.023980823922402087,0.3042457952076514,11.9,-0.322728
114.94,-0.02825,0.01614,-0.07194247176720626,0.3011740157241414,11.9,-0.336175
114.96000000000001,-0.022600000000000002,0.024210000000000002,-0.09592329568960835,0.29810223624063137,11.9,-0.26894
114.98,-0.00904,0.01076,-0.11990411961201045,0.29503045675712136,11.9,-0.10757599999999999
115.0,0.00791,0.03497,-0.14388494353441253,0.2919586772736114,11.9,0.094129
115.02,0.025990000000000003,0.04573,-0.14388494353441253,0.29042278753185613,11.9,0.30928100000000003
115.04,0.042940000000000006,0.04304,-0.11990411961201045,0.2888868977901012,11.9,0.510986
115.06,0.0565,0.05111,-0.07194247176720626,0.2888868977901012,11.9,0.67235
115.08,0.06328,0.05649,-0.023980823922402087,0.29042278753185613,11.9,0.753032
115.10000000000001,0.06215,0.05649,0.0,0.29042278753185613,11.9,0.7395849999999999
115.12,0.05311,0.05649,0.0,0.29042278753185613,11.9,0.632009
115.14,0.037290000000000004,0.040350000000000004,0.0,0.2919586772736114,11.9,0.44375100000000006
115.16,0.01695,0.01614,0.0,0.29042278753185613,11.9,0.201705
115.18,-0.0056500000000000005,0.0,0.0,0.29042278753185613,11.9,-0.067235
115.2,-0.02825,0.0,0.0,0.2888868977901012,11.9,-0.336175
115.22,-0.04633,0.0,-0.023980823922402087,0.2873510080483461,11.9,-0.551327
115.24000000000001,-0.05989,0.0,-0.047961647844804174,0.2842792285648364,11.9,-0.712691
115.26,-0.06667,0.00269,-0.09592329568960835,0.27967155933957116,11.9,-0.793373
115.28,-0.06441,0.01076,-0.1678657674568146,0.27352800037255115,11.9,-0.7664789999999999
115.3,-0.05537,0.0269,-0.21582741530161878,0.26738444140553114,11.9,-0.658903
115.32000000000001,-0.04068000000000001,0.03497,-0.2398082392240209,0.2612408824385111,11.9,-0.48409200000000013
115.34,-0.021470000000000003,0.03228,-0.263789063146423,0.2566332132132461,11.9,-0.255493
115.36,-0.0033900000000000002,0.03228,-0.2398082392240209,0.2535614337297361,11.9,-0.040341
