t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference
5.44,0.09831,0.1076,0.0,0.5763775321786073,11.9,1.169889,0.3501164199741971
5.5200000000000005,0.09831,0.10491,0.0,0.5779134219203623,11.9,1.169889,0.4052868651297369
5.6000000000000005,0.11187000000000001,0.11567,0.0,0.5779134219203623,11.9,1.3312530000000002,0.45636473728579285
5.68,0.11865,0.12373999999999999,0.0,0.5763775321786073,11.9,1.4119350000000002,0.5028342538240687
5.76,0.10848000000000001,0.13181,0.0,0.5763775321786073,11.9,1.290912,0.5442261671447892
5.84,0.11978,0.13988,0.0,0.5763775321786073,11.9,1.425382,0.580122503113017
5.92,0.13108,0.12912,0.0,0.5763775321786073,11.9,1.559852,0.6101607817472783
6.0,0.12317,0.13719,0.0,0.5779134219203623,11.9,1.465723,0.6340376775301023
6.08,0.12091000000000002,0.14795,0.0,0.5779134219203623,11.9,1.4388290000000004,0.6515120823787955
6.16,0.10622,0.14795,0.0,0.5763775321786073,11.9,1.264018,0.6624075403466723
6.24,0.1243,0.15333,0.0,0.5763775321786073,11.9,1.4791699999999999,0.6666140294692107
6.32,0.11865,0.16678,0.0,0.5779134219203623,11.9,1.4119350000000002,0.6640890727621149
6.4,0.11639000000000001,0.11298,0.0,0.5763775321786073,11.9,1.3850410000000002,0.654858167152459
6.48,0.05876000000000001,0.059179999999999996,0.0,0.5763775321786073,11.9,0.6992440000000001,0.639014526011584
6.5600000000000005,0.01582,0.03497,0.0,0.5763775321786073,11.9,0.188258,0.6167181378896386
6.640000000000001,-0.08362,0.01345,-0.14388494353441253,0.5625545245028123,11.9,-0.995078,0.5881941509566351
6.72,-0.025990000000000003,0.03497,-0.28776988706882506,0.5379802886347318,11.9,-0.30928100000000003,0.553730599463875
6.8,-0.24972999999999998,0.0269,-0.45563565452563964,0.4980471553491017,11.9,-2.971787,0.5136754951838598
6.88,-0.14803,0.059179999999999996,-0.5755397741376501,0.4504345733546966,11.9,-1.761557,0.4684333131992327
6.96,-0.0033900000000000002,0.048420000000000005,-0.6235014219824542,0.3997502118767813,11.9,-0.040341,0.41846090752713405
7.04,-0.08023,-0.00807,-0.5755397741376501,0.35367351962413074,11.9,-0.954737,0.364262897822846
7.12,-0.06215,-0.00807,-0.45563565452563964,0.31988394530552067,11.9,-0.7395849999999999,0.30638657374765904
7.2,-0.15594000000000002,-0.00269,-0.3597123588360313,0.2907020402121754,11.9,-1.8556860000000004,0.24541636845645198
7.28,-0.28476,-0.01345,-0.7194247176720626,0.22926645054197503,11.9,-3.388644,0.18196795701155072
7.36,-0.46216999999999997,-0.03228,-1.127098724352898,0.1355771762949196,11.9,-5.499823,0.11668203931685074
7.44,-0.62037,-0.03497,-1.582734378878538,0.003490658503988664,11.9,-7.382403,0.05021787035195464
7.5200000000000005,-0.61924,-0.03497,-1.894485089869765,-0.1485624259297571,11.9,-7.368956000000001,-0.01675339696222488
7.6000000000000005,-0.57404,-0.04573,-1.894485089869765,-0.30061551036350354,11.9,-6.831076,-0.08355548904286994
7.68,-0.46782,-0.06456,-1.582734378878538,-0.42195079996214924,11.9,-5.567058,-0.1495138406329206
7.76,-0.33674,-0.06456,-1.2230220200425064,-0.5171759639509599,11.9,-4.007206,-0.21396240653813892
7.84,-0.19662,-0.07263,-0.7194247176720626,-0.5693962151706302,11.9,-2.339778,-0.2762503873288559
7.92,-0.05085,-0.06994,-0.1678657674568146,-0.5816833331046702,11.9,-0.605115,-0.33574880109050653
8.0,-0.05876000000000001,-0.08339,0.0,-0.5801474433629151,11.9,-0.6992440000000001,-0.3918568348616485
8.08,-0.07232,-0.09684000000000001,0.0,-0.5801474433629151,11.9,-0.8606079999999999,-0.4440079116228346
8.16,-0.08814,-0.09415,0.0,-0.5801474433629151,11.9,-1.048866,-0.4916754115721157
8.24,-0.08136000000000002,-0.1076,0.0,-0.5801474433629151,11.9,-0.9681840000000003,-0.5343779899139178
8.32,-0.08362,-0.11298,0.0,-0.5801474433629151,11.9,-0.995078,-0.5716844374624346
8.4,-0.09831,-0.11835999999999999,0.0,-0.5801474433629151,11.9,-1.169889,-0.6032180349773464
8.48,-0.10057,-0.11835999999999999,0.0,-0.5801474433629151,11.9,-1.1967830000000002,-0.6286603572619095
8.56,-0.09944000000000001,-0.11567,0.0,-0.5801474433629151,11.9,-1.1833360000000002,-0.6477544886097826
8.64,-0.09718,-0.12643,0.0,-0.5801474433629151,11.9,-1.156442,-0.6603076171311009
8.72,-0.09718,-0.11835999999999999,0.0,-0.5801474433629151,11.9,-1.156442,-0.6661929817603928
8.8,-0.113,-0.12912,0.0,-0.5801474433629151,11.9,-1.3447,-0.6653511522855142
8.88,-0.07797000000000001,-0.09415,0.0,-0.5801474433629151,11.9,-0.9278430000000002,-0.657790629471912
8.96,-0.061020000000000005,-0.061869999999999994,0.0,-0.5801474433629151,11.9,-0.7261380000000001,-0.6435877592221824
9.040000000000001,-0.03955,-0.03497,0.0,-0.5801474433629151,11.9,-0.47064500000000004,-0.6228859616377413
9.120000000000001,-0.03955,-0.040350000000000004,0.0,-0.5801474433629151,11.9,-0.47064500000000004,-0.5958942827675089
