t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,torque_hip_from_ref,position_from_julia_hip
8.0,-0.37403,-0.08608,-0.6954438937496605,-0.3205820770063186,11.9,-4.450957,-0.3918568348616485,-0.7007496946757226,-0.6766194408270496,0.5399612373357519,0.44964044854503893,0.6167137039970871,-0.2541084493199975,-0.39189060159396033
8.08,-0.35821,-0.09684000000000001,-0.6474822459048563,-0.3743382179677439,11.9,-4.262699,-0.4440079116228346,-0.6527531402458786,-0.6238661044404195,0.5399612373357439,0.44964044854503893,0.6987903219236227,-0.28572118109433253,-0.4442801275330208
8.16,-0.34239,-0.09953000000000001,-0.6235014219824542,-0.42502257944565924,11.9,-4.074441,-0.4916754115721157,-0.6143558967020035,-0.5648129893192699,0.599956930373057,0.5995205980600513,0.7738105789120424,-0.31390725393559893,-0.4920876487607899
8.24,-0.32657,-0.1076,-0.551558950215248,-0.47263516144006457,11.9,-3.8861830000000004,-0.5343779899139178,-0.5567600313861893,-0.5000564118144926,0.8399397025222739,0.7494007475750637,0.8410169229552613,-0.33852566313895194,-0.5348092613065221
8.32,-0.29493,-0.11567,-0.5035973023704439,-0.5141041844674497,11.9,-3.5096670000000003,-0.5716844374624346,-0.47996554429843963,-0.430250281646428,0.9599310885968682,0.8992808970900779,0.8997307066735925,-0.3595058583715943,-0.5720168187353547
8.4,-0.2712,-0.11567,-0.4076740066808355,-0.549429648527815,11.9,-3.22728,-0.6032180349773464,-0.40317105721069035,-0.35609949874671765,0.7799440094849581,0.8992808970900779,0.9493590402731364,-0.3768321305047394,-0.6033598317659383
8.48,-0.25425000000000003,-0.12373999999999999,-0.3597123588360313,-0.5786115536211601,11.9,-3.0255750000000003,-0.6286603572619095,-0.35517450278084617,-0.278352835202726,0.7199483164476681,0.5995205980600518,0.9894007785266992,-0.39052623936904524,-0.6285627031737107
8.56,-0.20679000000000003,-0.11567,-0.3117507109912271,-0.6062575689727504,11.9,-2.4608010000000005,-0.6477544886097826,-0.28797932657906333,-0.19779537418244564,1.0199267816341915,0.8992808970900776,1.0194515813213254,-0.4006299940516511,-0.6474190559492227
8.64,-0.18306,-0.12912,-0.21582741530161878,-0.6246882458738103,11.9,-2.178414,-0.6603076171311009,-0.1919862177193754,-0.11524058219131383,1.0799224746714788,0.8992808970900772,1.039207996671012,-0.4071893752704499,-0.6597849349644547
8.72,-0.1356,-0.11835999999999999,-0.1678657674568146,-0.6369753638078505,11.9,-1.61364,-0.6661929817603928,-0.11519173063162658,-0.031522094715083604,0.9599310885968735,0.8992808970900774,1.048470524964489,-0.4102415584523888,-0.6655723599507444
8.8,-0.11187000000000001,-0.1345,-0.07194247176720626,-0.6431189227748706,11.9,-1.3312530000000002,-0.6653511522855142,-0.038397243543875526,0.05251470180300455,0.7799440094849723,1.0491610466050905,1.0471456335056686,-0.4098058913674835,-0.6647442841169405
8.88,-0.07232,-0.08877,0.0,-0.6431189227748706,11.9,-0.8606079999999999,-0.657790629471912,0.009599310885969103,0.1360212066458235,0.5999569303730545,0.44964044854503876,1.0352467010035133,-0.40587953111110175,-0.6573116140934162
8.96,-0.00904,-0.05111,0.0,-0.6415830330331156,11.9,-0.10757599999999999,-0.6435877592221824,0.05759586531581329,0.21815417396356684,1.0199267816341802,0.44964044854503876,1.0128938824742852,-0.3984380733616541,-0.6433326304208574
9.040000000000001,0.06328,-0.03766,0.07194247176720626,-0.6339035843243405,11.9,0.753032,-0.6228859616377413,0.1727875959474381,0.2980842278417093,1.439896632895309,1.3489213456351161,0.9803128959203593,-0.3874411262095618,-0.6229148911291162
9.120000000000001,0.09492,-0.03766,0.21582741530161878,-0.6139370176815254,11.9,1.129548,-0.5958942827675089,0.2879793265790629,0.37500423731082444,1.1999138607461315,1.3489213456351163,0.9378327430373663,-0.37284240139678637,-0.5962194354778122
9.200000000000001,0.13447,-0.029589999999999998,0.28776988706882506,-0.5878268920716904,11.9,1.6001930000000002,-0.5628852836680094,0.36477381366681927,0.44813746672768806,0.9599310885969257,0.8992808970900874,0.8858823869663919,-0.3546035280758852,-0.5634667608674806
9.28,0.16611,-0.0269,0.3597123588360313,-0.555573207494835,11.9,1.976709,-0.5241922880910797,0.44156830075456943,0.5167454192254457,0.8999353955595524,0.899280897090087,0.8249864206387882,-0.332710453865993,-0.5249435985233354
9.36,0.19775,-0.01883,0.43165483060323756,-0.5171759639509599,11.9,2.353225,-0.48020601659193884,0.508763476956346,0.5801352940298927,0.779944009484939,0.8992808970900779,0.7557597694542832,-0.3071910086173663,-0.48100901981525085
9.44,0.2373,-0.01076,0.5035973023704439,-0.47417105118181957,11.9,2.8238700000000003,-0.43137064104629674,0.5663593422721598,0.6376669823381311,0.659952623410367,0.749400747575065,0.678901481785271,-0.27813199921610404,-0.4320980164911648
9.52,0.26216,-0.00807,0.551558950215248,-0.42655846918741425,11.9,3.119704,-0.3781792994178378,0.6143558967020049,0.6887595311155361,0.5999569303730468,0.5995205980600513,0.5951876700104766,-0.2456941144423881,-0.37872063259762506
