t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,current_reference
7.2,0.013560000000000001,0.01614,0.0,0.05026548245743667,11.9,0.161364,0.24541636845645198,0.0,-0.7776163546006762,-0.11999138607460086,0.0,-0.38624217864090493,1.5025041736227045
7.28,0.01582,0.01345,0.0,0.05026548245743667,11.9,0.188258,0.18196795701155072,0.0,-0.804589557122507,0.059995693037304766,0.0,-0.28638554388624193,1.5191986644407345
7.36,0.010170000000000002,0.01614,0.0,0.05026548245743667,11.9,0.12102300000000003,0.11668203931685074,0.00959931088596877,-0.8234380416224749,0.059995693037304766,0.0,-0.18363699763571795,1.5358931552587645
7.44,0.03842,0.01345,0.0,0.051801372199191675,11.9,0.45719800000000005,0.05021787035195464,0.00959931088596877,-0.8339714767442219,-0.059995693037304766,0.0,-0.07903409121986193,1.552587646076795
7.5200000000000005,0.03277,0.01614,0.0,0.051801372199191675,11.9,0.389963,-0.01675339696222488,0.0,-0.8360834962176529,-0.059995693037304766,0.0,0.026366898764810465,1.5692821368948249
7.6000000000000005,0.03503,0.01345,0.0,0.051801372199191675,11.9,0.416857,-0.08355548904286994,0.0,-0.8297527729418521,0.0,0.0,0.13150163670136372,1.5859766277128546
7.68,0.01808,0.01345,0.0,0.051801372199191675,11.9,0.21515199999999998,-0.1495138406329206,0.0,-0.8150432343454349,0.0,0.0,0.23530847557660994,1.6026711185308846
7.76,0.027120000000000002,0.01076,0.0,0.051801372199191675,11.9,0.322728,-0.21396240653813892,0.0,-0.7921034168495947,0.0,0.0,0.3367391774571118,1.6193656093489148
7.84,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.2762503873288559,0.0,-0.761164965952297,0.0,0.0,0.43476949856025726,1.6360601001669448
7.92,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.33574880109050653,0.0,-0.7225402970799535,0.0,0.0,0.5284095320327955,1.6527545909849748
8.0,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.3918568348616485,0.0,-0.6766194408270496,0.0,0.0,0.6167137039970871,1.669449081803005
8.08,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.4440079116228346,0.0,-0.6238661044404195,0.0,0.0,0.6987903219236227,1.686143572621035
8.16,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.4916754115721157,0.0,-0.5648129893192699,0.0,0.0,0.7738105789120424,1.702838063439065
8.24,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.5343779899139178,0.0,-0.5000564118144926,0.0,0.0,0.8410169229552613,1.7195325542570952
8.32,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.5716844374624346,0.0,-0.430250281646428,0.0,0.0,0.8997307066735925,1.7362270450751252
8.4,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.6032180349773464,0.0,-0.35609949874671765,0.0,0.0,0.9493590402731364,1.7529215358931551
8.48,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.6286603572619095,0.0,-0.278352835202726,0.0,0.0,0.9894007785266992,1.7696160267111851
8.56,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.6477544886097826,0.0,-0.19779537418244564,0.0,0.0,1.0194515813213254,1.786310517529215
8.64,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.6603076171311009,0.0,-0.11524058219131383,0.0,0.0,1.039207996671012,1.8030050083472453
8.72,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.6661929817603928,0.0,-0.031522094715083604,0.0,0.0,1.048470524964489,1.8196994991652755
8.8,0.020340000000000004,0.02152,0.0,0.051801372199191675,11.9,0.24204600000000007,-0.6653511522855142,0.0,0.05251470180300455,0.0,0.0,1.0471456335056686,1.8363939899833053
8.88,0.03842,0.01614,0.0,0.051801372199191675,11.9,0.45719800000000005,-0.657790629471912,0.0,0.1360212066458235,0.059995693037304766,0.0,1.0352467010035133,1.8530884808013357
8.96,0.02373,0.01614,0.0,0.051801372199191675,11.9,0.282387,-0.6435877592221824,0.00959931088596877,0.21815417396356684,0.17998707911191428,0.0,1.0128938824742852,1.8697829716193652
9.040000000000001,0.029380000000000003,0.01614,0.0,0.05333726194094668,11.9,0.34962200000000004,-0.6228859616377413,0.02879793265790631,0.2980842278417093,0.29997846518652344,0.1498801495150129,0.9803128959203593,1.886477462437396
9.120000000000001,0.05763,0.024210000000000002,0.023980823922402087,0.056409041424456685,11.9,0.685797,-0.5958942827675089,0.05759586531581257,0.37500423731082444,0.35997415822384426,0.2997602990300258,0.9378327430373663,1.9031719532554257
9.200000000000001,0.06441,0.01614,0.047961647844804174,0.0625526003914767,11.9,0.7664789999999999,-0.5628852836680094,0.08639379797372143,0.44813746672768806,0.3599741582238458,0.44964044854504703,0.8858823869663919,1.919866444073456
9.28,0.061020000000000005,0.01614,0.09592329568960835,0.07023204910025194,11.9,0.7261380000000001,-0.5241922880910797,0.1151917306316273,0.5167454192254457,0.3599741582238163,0.4496404485450471,0.8249864206387882,1.9365609348914856
9.36,0.08023,0.01614,0.11990411961201045,0.08098327729253696,11.9,0.954737,-0.48020601659193884,0.14398966328953144,0.5801352940298927,0.05999569303729124,0.2997602990300259,0.7557597694542832,1.953255425709516
9.44,0.07797000000000001,0.01614,0.14388494353441253,0.09327039522657699,11.9,0.9278430000000002,-0.43137064104629674,0.1247910415175939,0.6376669823381311,-0.3599741582238286,-0.14988014951501305,0.678901481785271,1.9699499165275456
9.52,0.06215,0.01614,0.09592329568960835,0.100949843935352,11.9,0.7395849999999999,-0.3781792994178378,0.08639379797371882,0.6887595311155361,-0.5399612373357429,-0.5995205980600518,0.5951876700104766,1.986644407345576
9.6,0.030510000000000002,0.024210000000000002,0.047961647844804174,0.10709340290237201,11.9,0.36306900000000003,-0.32116911606781084,0.03839724354387497,0.7328970095398075,-0.5399612373357422,-0.5995205980600516,0.5054636733581077,2.003338898163606
9.68,0.03616,0.01614,0.0,0.10709340290237201,11.9,0.43030399999999996,-0.26091577789146847,0.0,0.7696337188528335,-0.23998277214921837,-0.2997602990300258,0.4106355216989934,2.020033388981636
9.76,0.020340000000000004,0.01614,0.0,0.10709340290237201,11.9,0.24204600000000007,-0.1980277210513574,0.0,0.7985986930116464,0.0,0.0,0.3116607864880123,2.036727879799666
9.84,0.037290000000000004,0.02152,0.0,0.10709340290237201,11.9,0.44375100000000006,-0.13313998700960494,0.0,0.8194994446909154,0.0,0.0,0.20953891123988555,2.053422370617696
9.92,0.03503,0.024210000000000002,0.0,0.10709340290237201,11.9,0.416857,-0.06690780990081081,0.0,0.8321249188100281,0.0,0.0,0.10530111918259344,2.070116861435726
10.0,0.02373,0.024210000000000002,0.0,0.10709340290237201,11.9,0.282387,-3.265724797726275e-16,0.0,0.8363476237601304,0.0,0.0,0.0,2.0868113522537564
10.08,0.01582,0.01614,0.0,0.10709340290237201,11.9,0.188258,0.06690780990081016,0.0,0.8321249188100281,0.0,0.0,-0.10530111918259077,2.1035058430717863
10.16,0.024860000000000004,0.01614,0.0,0.10709340290237201,11.9,0.29583400000000004,0.1331399870096043,0.0,0.8194994446909158,0.0,0.0,-0.20953891123988466,2.1202003338898163
10.24,0.037290000000000004,0.02152,0.0,0.10709340290237201,11.9,0.44375100000000006,0.1980277210513568,0.0,0.7985986930116467,0.0,0.0,-0.3116607864880132,2.1368948247078463
10.32,0.029380000000000003,0.0269,0.0,0.10709340290237201,11.9,0.34962200000000004,0.26091577789146786,0.0,0.7696337188528337,0.0,0.0,-0.41063552169899253,2.1535893155258763
10.4,0.027120000000000002,0.01614,0.0,0.10709340290237201,11.9,0.322728,0.3211691160678103,0.0,0.7328970095398077,0.05999569303729644,0.0,-0.5054636733581042,2.1702838063439063
10.48,0.01695,0.02152,0.0,0.10709340290237201,11.9,0.201705,0.37817929941783723,0.009599310885967438,0.688759531115537,0.0,0.0,-0.595187670010473,2.1869782971619363
10.56,0.01921,0.024210000000000002,0.0,0.1086292926441268,11.9,0.22859900000000002,0.4313706410462963,0.0,0.637666982338132,-0.11999138607459288,0.0,-0.6789014817852763,2.2036727879799667
10.64,0.01808,0.02152,0.0,0.10709340290237201,11.9,0.21515199999999998,0.4802060165919384,-0.009599310885967438,0.5801352940298927,0.0,0.0,-0.755759769454269,2.2203672787979967
10.72,0.037290000000000004,0.024210000000000002,0.0,0.10709340290237201,11.9,0.44375100000000006,0.5241922880910792,0.0,0.5167454192254488,0.05999569303729644,0.0,-0.8249864206387896,2.2370617696160267
10.8,0.025990000000000003,0.0269,0.0,0.10709340290237201,11.9,0.30928100000000003,0.5628852836680103,0.0,0.4481374667276863,0.05999569303729644,0.0,-0.8858823869664296,2.2537562604340566
10.88,0.027120000000000002,0.01614,0.0,0.10709340290237201,11.9,0.322728,0.5958942827675091,0.009599310885967438,0.37500423731082,0.0,0.0,-0.9378327430373581,2.2704507512520866
10.96,0.014690000000000002,0.024210000000000002,0.0,0.1086292926441268,11.9,0.17481100000000002,0.6228859616377416,0.0,0.29808422784170885,-0.11999138607459288,0.0,-0.9803128959203395,2.2871452420701166
11.040000000000001,0.037290000000000004,0.024210000000000002,0.0,0.10709340290237201,11.9,0.44375100000000006,0.6435877592221826,-0.009599310885967438,0.2181541739635655,0.0,0.0,-1.0128938824742768,2.3038397328881466
11.120000000000001,0.01695,0.024210000000000002,0.0,0.10709340290237201,11.9,0.201705,0.657790629471912,0.0,0.1360212066458244,0.11999138607459427,0.0,-1.0352467010035051,2.320534223706177
11.200000000000001,0.042940000000000006,0.02152,0.0,0.10709340290237201,11.9,0.510986,0.6653511522855144,0.00959931088596766,0.05251470180300455,0.059995693037297154,0.0,-1.0471456335056912,2.337228714524207
