time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
14.599999999999994,-0.2739770963597064,-0.46087863468014234,0.674594161121274,0.6800925053366969,0.878567756668115,0.8261503613067035,0.880388280825986,0.8101135672802818,0.2048575355138482
14.619999999999994,-0.2679433470141816,-0.45317613996851935,0.6733783470401682,0.6637328259410402,0.878567756668115,0.8261503613067035,0.8807015523761526,0.8076941899100241,0.2048575355138482
14.639999999999993,-0.26083161618073647,-0.4452688763283916,0.6717447605093095,0.6505309361305993,0.878567756668115,0.8261503613067035,0.8810611721381011,0.8048770145856792,0.2048575355138482
14.659999999999995,-0.25242010084877686,-0.43724667146602886,0.6695428472310206,0.6410299375302978,0.878567756668115,0.8261503613067035,0.8814761811186024,0.8015935887396768,0.2048575355138482
14.679999999999994,-0.24248976450797233,-0.42914311098615787,0.6665824604292298,0.6356164804266963,0.878567756668115,0.8261503613067035,0.8819545764019785,0.7977841782551012,0.2048575355138482
14.699999999999994,-0.2308838996887126,-0.42094233085559457,0.6626495049658503,0.634427062236184,0.878567756668115,0.8261503613067035,0.8825003173797777,0.7934207853702516,0.2048575355138482
14.719999999999994,-0.21760067789969204,-0.41261670750944424,0.6575523209575963,0.6372768281286845,0.878567756668115,0.8261503613067035,0.8831094155596623,0.7885389774487688,0.2048575355138482
14.739999999999993,-0.19716900402871132,-0.4077029804775693,0.6485397867110723,0.6402386084230209,0.878567756668115,0.8261503613067034,0.8837660463043352,0.7832701099205744,0.2048575355138482
14.759999999999993,-0.18075879573142928,-0.3987944985382963,0.6403287527180923,0.6484606424196927,0.889702738665039,0.7349661994050387,0.8844412302161265,0.7778526349143728,0.2048575355138482
14.779999999999992,-0.1646739419170459,-0.3896355537808508,0.631765231737119,0.6554496986731089,0.8897027386650391,0.7349661994050392,0.8850988536657031,0.7725832266142423,0.2048575355138482
14.799999999999992,-0.15167235625818837,-0.3807266188120301,0.6262800806460308,0.6610631028487955,0.8897027386650391,0.7349661994050392,0.885709922986022,0.767700336644483,0.2048575355138482
14.819999999999993,-0.14264560843969945,-0.3724269300580715,0.6249812849187504,0.6653939074987936,0.8897027386650391,0.7349661994050392,0.8862585502902866,0.7633353296662247,0.2048575355138482
14.839999999999993,-0.13779356972463036,-0.3649243163010001,0.6281814051840368,0.6686539813860719,0.8897027386650391,0.7349661994050392,0.8867405785666749,0.7595238085794768,0.2048575355138482
14.859999999999992,-0.13701053251742185,-0.35826620024182676,0.6358347063403578,0.6710791711224947,0.8897027386650391,0.7349661994050392,0.887159647669091,0.7562378507986354,0.2048575355138482
14.879999999999992,-0.13998952429456882,-0.3524111914794714,0.6476037696656802,0.6728786342575906,0.8897027386650391,0.7349661994050392,0.8875233092381682,0.7534178291625614,0.2048575355138482
14.899999999999993,-0.14631917775716216,-0.347275839679065,0.6629578234888505,0.6742179658336687,0.8897027386650391,0.7349661994050392,0.8878402240416116,0.7509953724585782,0.2048575355138482
14.919999999999993,-0.15555466134597212,-0.3427664900788975,0.6812652168672331,0.6752204587655672,0.8897027386650391,0.7349661994050392,0.8881185674349426,0.7489064447032168,0.2048575355138482
14.939999999999992,-0.16726036286904888,-0.33879615973906924,0.7018625859692328,0.6759752087464045,0.8897027386650391,0.7349661994050392,0.8883653700940645,0.7470967800901155,0.2048575355138482
14.959999999999992,-0.18103036223630303,-0.33529062424563444,0.7240987706565231,0.6765460752525778,0.8897027386650391,0.7349661994050392,0.8885864334025034,0.7455226264388287,0.2048575355138482
14.979999999999993,-0.19649480711563547,-0.3321884394504984,0.7473589669632745,0.6769791211370298,0.8897027386650391,0.7349661994050392,0.8887865195459073,0.7441492524057169,0.2048575355138482
14.999999999999993,-0.21331895403978895,-0.3294384819732743,0.7710759921417333,0.6773080436712288,0.8897027386650391,0.7349661994050392,0.8889696207190502,0.7429488195138704,0.2048575355138482
