time,q1_l,q1_r,q2_l,q2_r,ZMPx,ZMPy,CoMx,CoMy,CoMz
11.359999999999996,-0.6588102480913834,-0.2861680243493555,0.7778040230100582,0.9264226204661579,1.1517869284656803,0.07164599689830885,1.1677422282712862,0.027005150002985537,0.19173183907023764
11.379999999999995,-0.6477217129012482,-0.2580827381355508,0.7909697137922299,0.9129783504105974,1.1517869284656803,0.07164599689830885,1.1702554559718013,0.019757089357368494,0.19173183907023764
11.399999999999995,-0.63720041665473,-0.2256851359861313,0.8165081318139931,0.8953464406672816,1.1517869284656803,0.07164599689830885,1.1730727634545137,0.01165355366028091,0.19173183907023764
11.419999999999995,-0.6204769015058013,-0.20086947412529732,0.8557195264781136,0.880370657026748,1.1517869284656803,0.07164599689830886,1.176114869802726,0.00291593139872722,0.19173183907023764
11.439999999999994,-0.6059111333742486,-0.16427425193715617,0.8800817790763602,0.8560529231782095,1.2036587101148692,-0.07490949278062153,1.1792418884138693,-0.006063199664537986,0.19173183907023764
11.459999999999994,-0.5899979374670563,-0.13091865511995465,0.9005390580987547,0.8341021122175378,1.2036587101148692,-0.07490949278062094,1.1822815187197895,-0.01479976158302005,0.19173183907023764
11.479999999999993,-0.5738010998140917,-0.10637006471359028,0.9167931282695356,0.8220104023807322,1.2036587101148692,-0.07490949278062094,1.1850938064123389,-0.022901189451437008,0.19173183907023764
11.499999999999995,-0.5582035309209101,-0.09198301881087784,0.9292017028504782,0.8218064272635222,1.2036587101148692,-0.07490949278062094,1.187599332151184,-0.030146124058901012,0.19173183907023764
11.519999999999994,-0.5437669568214648,-0.08809649540194686,0.9384388312934495,0.8341409509003385,1.2036587101148692,-0.07490949278062094,1.1897740728398636,-0.036469949731182165,0.19173183907023764
11.539999999999994,-0.5307431441654633,-0.09417272880744859,0.9452277020988421,0.8582521808982936,1.2036587101148692,-0.07490949278062094,1.1916318869190545,-0.04191537245275697,0.19173183907023764
11.559999999999993,-0.5191592661800803,-0.10910544755393764,0.9502002917538782,0.892336784146183,1.2036587101148692,-0.07490949278062094,1.1932064446088446,-0.04658143684595139,0.19173183907023764
11.579999999999995,-0.5089143540001769,-0.13154821501291353,0.9538525324170718,0.9340644580078501,1.2036587101148692,-0.07490949278062094,1.1945376413689754,-0.05058521766154449,0.19173183907023764
11.599999999999994,-0.4998543991554109,-0.1601578823528057,0.9565505994238721,0.9810065170537544,1.2036587101148692,-0.07490949278062094,1.1956634395519006,-0.05403885689161557,0.19173183907023764
11.619999999999994,-0.4918181863790252,-0.19372324047949985,0.9585563815201273,1.030889263026753,1.2036587101148692,-0.07490949278062094,1.1966161427164466,-0.057039135404236815,0.19173183907023764
11.639999999999993,-0.48465879080896246,-0.23120172964108066,0.9600550803383946,1.0816951413492433,1.2036587101148692,-0.07490949278062094,1.197421552524987,-0.059665201607238344,0.19173183907023764
11.659999999999995,-0.4782494804895244,-0.27170219288040565,0.9611780996115464,1.1316729863242903,1.2036587101148692,-0.07490949278062094,1.1980996204127696,-0.06198053854072589,0.19173183907023764
11.679999999999994,-0.4724817862238527,-0.31444454569568003,0.9620197937755587,1.1793099630778263,1.2036587101148692,-0.07490949278062094,1.1986656257230024,-0.06403643657094132,0.19173183907023764
11.699999999999994,-0.4672609324908409,-0.35871510318195005,0.9626489010076615,1.22329669269022,1.2036587101148692,-0.07490949278062094,1.1991313324588853,-0.06587542742268193,0.19173183907023764
11.719999999999994,-0.46250136826332566,-0.4038271222133779,0.9631160780478828,1.2625000080922057,1.2036587101148692,-0.07490949278062094,1.1995058912830294,-0.06753402447017322,0.19173183907023764
11.739999999999995,-0.458123412838325,-0.4490910723123033,0.9634588274495812,1.2959477481169077,1.2036587101148692,-0.07490949278062094,1.199796444169715,-0.06904465376484127,0.19173183907023764
11.759999999999994,-0.4540510716116345,-0.49379692457146046,0.9637047638795695,1.3228250037501357,1.2036587101148692,-0.07490949278062094,1.200008480107383,-0.07043691750371842,0.19173183907023764
