Column1,Column2,Column3,Column4,Column5
0.15,-171.0625,-171.0625,-171.0625,-171.0625
0.155,-169.32708333333335,-169.32708333333335,-169.32708333333335,-169.32708333333335
0.16,-167.59166666666667,-167.59166666666667,-167.59166666666667,-167.59166666666667
0.165,-165.85625,-165.85625,-165.85625,-165.85625
0.17,-164.12083333333334,-164.12083333333334,-164.12083333333334,-164.12083333333334
0.175,-162.38541666666666,-162.38541666666666,-162.38541666666666,-162.38541666666666
0.18,-160.65,-160.65,-160.65,-160.65
0.185,-158.91458333333333,-158.91458333333333,-158.91458333333333,-158.91458333333333
0.19,-157.17916666666665,-157.17916666666665,-157.17916666666665,-157.17916666666665
0.195,-155.44375,-155.44375,-155.44375,-155.44375
0.2,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.205,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.21,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.215,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.22,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.225,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.23,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.235,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.24,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.245,-151.97291666666663,-151.97291666666663,-151.97291666666663,-151.97291666666663
0.25,-150.23749999999998,-150.23749999999998,-150.23749999999998,-150.23749999999998
0.255,-148.50208333333333,-148.50208333333333,-148.50208333333333,-148.50208333333333
0.26,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.265,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.27,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.275,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.28,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.285,-148.50208333333333,-148.50208333333333,-148.50208333333333,-148.50208333333333
0.29,-150.23749999999998,-150.23749999999998,-150.23749999999998,-150.23749999999998
0.295,-151.97291666666663,-151.97291666666663,-151.97291666666663,-151.97291666666663
0.3,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.305,-151.97291666666663,-151.97291666666663,-151.97291666666663,-151.97291666666663
0.31,-150.23749999999998,-150.23749999999998,-150.23749999999998,-150.23749999999998
0.315,-148.50208333333333,-148.50208333333333,-148.50208333333333,-148.50208333333333
0.32,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.325,-148.50208333333333,-148.50208333333333,-148.50208333333333,-148.50208333333333
0.33,-150.23749999999998,-150.23749999999998,-150.23749999999998,-150.23749999999998
0.335,-151.97291666666663,-151.97291666666663,-151.97291666666663,-151.97291666666663
0.34,-153.70833333333331,-153.70833333333331,-153.70833333333331,-153.70833333333331
0.345,-151.97291666666663,-151.97291666666663,-151.97291666666663,-151.97291666666663
0.35,-150.23749999999998,-150.23749999999998,-150.23749999999998,-150.23749999999998
0.355,-148.50208333333333,-148.50208333333333,-148.50208333333333,-148.50208333333333
0.36,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
0.365,-146.76666666666665,-146.76666666666665,-146.76666666666665,-146.76666666666665
