time,acc_sim,pos_sim,vel_sim,input_V,input_tau,tau_grav,tau_f
15.541822049311783,3.895885528732962,-0.4654707000004315,0.10418356132717377,-0.06472768348536061,-0.025537933667379265,0.30286745782053387,0.0723228633299679
15.546055937076769,3.9163143724779244,-0.46499459989327463,0.12072329016963614,0.0035920230455629004,0.0014172119459524629,0.3295112284897033,0.0727021025204573
15.55038840715844,3.928628673882844,-0.4644347635078579,0.13771857316500152,0.07350249327144269,0.028999984187254847,0.35672776616350554,0.07293070408766034
15.554795275371374,3.934993884587582,-0.4637896799457449,0.15504648371840643,0.14461348150263081,0.05705641387364396,0.3843620668024695,0.07304886727815199
15.559276683893897,3.937096534205747,-0.46305532951319606,0.17268618445913042,0.21692728198546696,0.08558740618676211,0.41241234994658016,0.07308790067372889
15.563823089037182,3.7954769756415208,-0.46222990247926926,0.19031300437547652,0.28257853219713347,0.1114897277717027,0.43777413282267597,0.07045888811590306
15.568519159023657,3.6725034412612465,-0.4612949148740523,0.20783903792343675,0.3488839879606626,0.13765016237859437,0.46332201343643,0.06817601864897593
15.57340393298202,3.585230587696621,-0.46023630391445197,0.22555848583864155,0.4178538211496745,0.16486181170989728,0.4898397737208774,0.0665558933618699
15.578329874641623,3.525016601939068,-0.45908203404192854,0.24306627825703261,0.48740491552120135,0.1923027942835345,0.5165237505679866,0.06543808642673843
15.583353260406593,3.179157240834972,-0.4578173268998153,0.2602881232147928,0.542549904881219,0.21405993133113144,0.5374509578197169,0.05901758481804342
15.588831286953345,2.8205064811637928,-0.45634610883360294,0.2766840548669228,0.5941140209631462,0.23440425550913374,0.5568291842466937,0.05235962485397749
15.594764851829417,2.5797386587200304,-0.4546565912337614,0.2926764528269886,0.6499660737851245,0.2564403603618161,0.5777549808688563,0.047890032975974495
15.60074558623797,2.357524445472168,-0.45286118939319714,0.3076459577139723,0.7027530643496955,0.27726716260391215,0.5974008853030004,0.04376486860546791
15.607134788130251,1.79690449755007,-0.450852494849295,0.3208383115184222,0.7328235235956199,0.28913128861954085,0.6079426005974449,0.033357571066925995
15.615527229030107,1.3995489456098462,-0.44810286229103247,0.33415605736894854,0.772322127068744,0.30471523448528315,0.6217142595751525,0.02598109887224037
15.623919669929963,1.374285537107472,-0.44525223504372863,0.34504475497120946,0.8197269007740998,0.32341851415198564,0.6385361564573567,0.02551211126290459
15.632312110829819,1.452329428115269,-0.4423068312984569,0.3569262140917285,0.8761534771642823,0.3456812939601909,0.6588523124204001,0.026960910931546678
15.640704551729675,1.456822530279259,-0.43925964859925865,0.3692702598238279,0.9311589374881254,0.36738338063245185,0.6785376501883107,0.027044320469978234
15.649196021326869,1.223801290813789,-0.4360752411816294,0.38059478299849825,0.9711236145738412,0.38315121315011136,0.6921948259687165,0.022718535451258293
15.658907587765045,1.0993861403274217,-0.43232400740471855,0.39183727095599064,1.0168306164367942,0.4011846467423219,0.707737886113474,0.02040890395453171
15.66861915420322,0.433447808532829,-0.42847634917737365,0.3992883439632768,1.021972,0.40321314993177104,0.7072075203041441,0.008046485551486182
15.67861915420322,0.08023022875480171,-0.42446981247788906,0.4017366238927859,1.021972,0.40321314993177104,0.7045382073376008,0.0014893866430035207
15.68861915420322,0.28496826730708735,-0.4204469116975437,0.40341163070357405,1.0451523533141394,0.41235882444763394,0.710998799910018,0.0052901249017270335
15.69861915420322,0.409770890841766,-0.41639570757141864,0.4069288280494898,1.072046353314137,0.4229696968142585,0.7189008151631906,0.007606949412753028
15.70861915420322,1.3376703990004537,-0.4122926718698029,0.41543099356333096,1.156891236599478,0.45644475547053853,0.7496274089701915,0.024832391181400293
15.716629578501486,1.7517140234126984,-0.40891603548321215,0.42789807574456257,1.232292559476631,0.4861939119115363,0.77711098297932,0.0325186592301307
15.724640002799752,1.526460625464693,-0.40543027165658124,0.44236464552599886,1.2858559411768922,0.5073270347919676,0.7959018242836647,0.02833707571227445
15.733565338577748,1.2290395343510083,-0.40142654347335,0.4545816064562568,1.327862587749239,0.5239005145766452,0.8097806481485323,0.022815777726124253
15.743427262885781,0.5417998723025549,-0.3968869933654591,0.46592249245166883,1.3489297191949805,0.5322124296098009,0.8150317382015968,0.010057923372680688
15.753427262885781,-0.2852328402488841,-0.39221946045382466,0.466923075878865,1.3220357191949805,0.5216015572431754,0.8012676711496522,-0.005295036409667719
15.761239100357699,-0.501642324505072,-0.3885845457143081,0.4635120052854806,1.304359,0.5146273097813393,0.7918336001992514,-0.009312442321041947
15.771239100357699,-0.3227477495286476,-0.38397044583530987,0.45945101690765583,1.304359,0.5146273097813393,0.7887058702017098,-0.005991459761089668
15.781239100357698,-0.3013748786244434,-0.37939038149235016,0.45662142996787536,1.3018596726235068,0.5136412146004669,0.7846093456143239,-0.00559469573658905
15.791239100357698,-0.5330053150966378,-0.3748444988331288,0.45237006472947094,1.2816891726235067,0.5056830603254977,0.773558354745171,-0.009894662015497546
15.79849945770041,-0.6085650102115767,-0.371575063397332,0.4482118906795425,1.2670446688453885,0.49990515594302654,0.7655526313358227,-0.01129734529834775
15.80849945770041,-1.3554767626181334,-0.3671338611161843,0.4386646482406826,1.2011572857664243,0.4739096694991412,0.7365263308015458,-0.025162946890192883
15.815821961964335,-1.670471347988348,-0.36396183070383986,0.4275262950565889,1.1470011426060727,0.4525426760082811,0.712991470938134,-0.031010477619572152
15.823567827016149,-1.790528925774716,-0.36070267458307254,0.4138878980912834,1.0921127150569263,0.43088676394132314,0.689105418696879,-0.03323921553446524
15.831387558063563,-1.817905687463396,-0.35752130502315277,0.3997724338094886,1.039536753359636,0.41014322191996,0.666182317859537,-0.03374743523943985
15.839419374134852,-1.828980065258244,-0.35436920866616944,0.3851231178478809,0.9855348380043195,0.3888370781187932,0.6427141145291846,-0.03395301897792863
15.847454887943474,-1.5961625180177543,-0.3513313160723372,0.371400310719792,0.9465449426384376,0.3734538400985858,0.6252447634065208,-0.02963101528307971
15.856039296649477,-1.4539367784686275,-0.34819953022938144,0.35834354800492113,0.9061428522840715,0.35751342870217573,0.6071513302962821,-0.026990749636783773
15.86524917224345,-1.3804997022577414,-0.3449594960009321,0.34531106839698006,0.8627970332948195,0.3404115861751508,0.5878194714736997,-0.025627470457510848
15.874459047837423,-1.3448607985291805,-0.3418370979647888,0.33276990239710164,0.8194512143055658,0.32330974364812526,0.568566120263924,-0.024965873101895297
15.88385060476763,-1.1057265359459298,-0.3387708086002275,0.32023322556279493,0.7856061376534524,0.3099563641361809,0.553097566963898,-0.020526606480027743
15.89385060476763,-0.8312067114006222,-0.3356175348114208,0.31064116017720367,0.7654356376534525,0.30199820986121173,0.5429618516580935,-0.01543044551597239
15.90385060476763,-0.9358680716746874,-0.3325500675319775,0.3029447355937093,0.7349093211913891,0.28995422801387866,0.5287972650992361,-0.017373369454369403
15.91385060476763,-1.1490641315829349,-0.3295722644897685,0.29244574535193746,0.687844821191389,0.27138520137228395,0.5081674705553179,-0.021331121649477258
15.92385060476763,-1.4543589578005247,-0.3267072052087058,0.28049831562293204,0.6304245047293255,0.2487303471583253,0.48352788987409445,-0.02699858693536361
15.93385060476763,-1.749085918425888,-0.3239816478473808,0.26437801579543807,0.5564660047293256,0.21955044815010505,0.45245811312918605,-0.032469871329055044
15.94385060476763,-1.6463100325328137,-0.32142800208075456,0.24625783268726517,0.49286332119139065,0.1944563767142493,0.42559179575301903,-0.030561949164956304
