t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U
15.08,0.09153,0.03228,0.1678657674568146,0.1785820890640597,11.9,1.089207
15.1,0.09153,0.03497,0.1678657674568146,0.1816538685475697,11.9,1.089207
15.120000000000001,0.09153,0.03497,0.1678657674568146,0.18472564803107971,11.9,1.089207
15.14,0.09153,0.03497,0.1678657674568146,0.18933331725634472,11.9,1.089207
15.16,0.09040000000000001,0.03497,0.14388494353441253,0.19240509673985473,11.9,1.07576
15.18,0.09040000000000001,0.03497,0.14388494353441253,0.19394098648160996,11.9,1.07576
15.200000000000001,0.09040000000000001,0.040350000000000004,0.14388494353441253,0.19701276596511996,11.9,1.07576
15.22,0.09040000000000001,0.040350000000000004,0.14388494353441253,0.20162043519038475,11.9,1.07576
15.24,0.09040000000000001,0.04304,0.14388494353441253,0.20315632493213998,11.9,1.07576
15.26,0.09040000000000001,0.04304,0.14388494353441253,0.20622810441564998,11.9,1.07576
15.280000000000001,0.08927,0.04304,0.14388494353441253,0.20929988389916,11.9,1.062313
15.3,0.08927,0.04573,0.11990411961201045,0.21237166338266977,11.9,1.062313
15.32,0.08927,0.04573,0.11990411961201045,0.213907553124425,11.9,1.062313
15.34,0.08814,0.04573,0.11990411961201045,0.21697933260793478,11.9,1.048866
15.36,0.08814,0.04573,0.11990411961201045,0.220051112091445,11.9,1.048866
15.38,0.08814,0.05111,0.11990411961201045,0.22158700183320024,11.9,1.048866
15.4,0.08814,0.048420000000000005,0.11990411961201045,0.22465878131671024,11.9,1.048866
15.42,0.08701,0.048420000000000005,0.11990411961201045,0.2277305608002198,11.9,1.035419
15.44,0.08701,0.05111,0.11990411961201045,0.22926645054197503,11.9,1.035419
15.46,0.08701,0.0538,0.11990411961201045,0.23233823002548526,11.9,1.035419
15.48,0.08701,0.0538,0.11990411961201045,0.23387411976724004,11.9,1.035419
15.5,0.08701,0.0538,0.09592329568960835,0.23541000950899527,11.9,1.035419
15.52,0.08588000000000001,0.05649,0.09592329568960835,0.23694589925075005,11.9,1.021972
15.540000000000001,0.08588000000000001,0.059179999999999996,0.09592329568960835,0.24001767873426005,11.9,1.021972
15.56,0.08588000000000001,0.05649,0.09592329568960835,0.24155356847601483,11.9,1.021972
15.58,0.08588000000000001,0.05649,0.09592329568960835,0.24308945821777006,11.9,1.021972
15.6,0.08588000000000001,0.059179999999999996,0.09592329568960835,0.24462534795952529,11.9,1.021972
15.620000000000001,0.08588000000000001,0.059179999999999996,0.07194247176720626,0.2476971274430353,11.9,1.021972
15.64,0.08588000000000001,0.05649,0.07194247176720626,0.2476971274430353,11.9,1.021972
15.66,0.08588000000000001,0.05649,0.07194247176720626,0.24923301718479007,11.9,1.021972
15.68,0.08701,0.059179999999999996,0.07194247176720626,0.2507689069265451,11.9,1.035419
15.700000000000001,0.08701,0.059179999999999996,0.07194247176720626,0.2538406864100551,11.9,1.035419
15.72,0.08701,0.059179999999999996,0.09592329568960835,0.2553765761518101,11.9,1.035419
15.74,0.08701,0.05649,0.07194247176720626,0.2569124658935651,11.9,1.035419
15.76,0.08814,0.05649,0.07194247176720626,0.2584483556353203,11.9,1.048866
15.780000000000001,0.08814,0.059179999999999996,0.07194247176720626,0.2615201351188303,11.9,1.048866
15.8,0.08814,0.059179999999999996,0.09592329568960835,0.2630560248605851,11.9,1.048866
15.82,0.08927,0.059179999999999996,0.09592329568960835,0.26459191460234033,11.9,1.062313
15.84,0.08927,0.059179999999999996,0.09592329568960835,0.2661278043440951,11.9,1.062313
15.860000000000001,0.09040000000000001,0.061869999999999994,0.09592329568960835,0.2691995838276051,11.9,1.07576
15.88,0.09153,0.06456,0.09592329568960835,0.27073547356936034,11.9,1.089207
15.9,0.09153,0.06456,0.09592329568960835,0.27227136331111534,11.9,1.089207
15.92,0.09266,0.06456,0.09592329568960835,0.27380725305287035,11.9,1.102654
15.94,0.09379,0.06456,0.09592329568960835,0.27687903253638013,11.9,1.116101
15.96,0.09492,0.06725,0.07194247176720626,0.27841492227813536,11.9,1.129548
15.98,0.09605000000000001,0.06725,0.07194247176720626,0.27995081201989014,11.9,1.1429950000000002
16.0,0.09718,0.061869999999999994,0.07194247176720626,0.28148670176164536,11.9,1.156442
16.02,0.09831,0.061869999999999994,0.09592329568960835,0.28455848124515537,11.9,1.169889
16.04,0.09944000000000001,0.06456,0.09592329568960835,0.2876302607286654,11.9,1.1833360000000002
16.06,0.10057,0.06456,0.09592329568960835,0.2891661504704204,11.9,1.1967830000000002
16.080000000000002,0.1017,0.06456,0.09592329568960835,0.2922379299539304,11.9,1.21023
16.1,0.10282999999999999,0.06725,0.09592329568960835,0.2953097094374404,11.9,1.223677
16.12,0.10509,0.06725,0.09592329568960835,0.2968455991791956,11.9,1.250571
16.14,0.10622,0.06725,0.11990411961201045,0.2999173786627056,11.9,1.264018
16.16,0.10735,0.07263,0.11990411961201045,0.3014532684044604,11.9,1.277465
16.18,0.10961,0.07801000000000001,0.11990411961201045,0.3045250478879704,11.9,1.304359
16.2,0.11074,0.07263,0.11990411961201045,0.3075968273714804,11.9,1.317806
16.22,0.113,0.07263,0.11990411961201045,0.31066860685499065,11.9,1.3447
16.240000000000002,0.11413000000000001,0.07801000000000001,0.11990411961201045,0.31220449659674565,11.9,1.3581470000000002
16.26,0.11639000000000001,0.07263,0.11990411961201045,0.31527627608025544,11.9,1.3850410000000002
16.28,0.11752000000000001,0.07263,0.11990411961201045,0.31834805556376544,11.9,1.3984880000000002
16.3,0.11978,0.07801000000000001,0.11990411961201045,0.3214198350472759,11.9,1.425382
16.32,0.12091000000000002,0.07263,0.14388494353441253,0.3244916145307859,11.9,1.4388290000000004
16.34,0.12317,0.07801000000000001,0.14388494353441253,0.3275633940142959,11.9,1.465723
16.36,0.12543,0.07263,0.14388494353441253,0.33063517349780547,11.9,1.4926170000000003
16.38,0.12656,0.07263,0.14388494353441253,0.3352428427230709,11.9,1.506064
16.4,0.12882,0.07263,0.1678657674568146,0.33831462220658093,11.9,1.5329579999999998
16.42,0.13108,0.07263,0.1678657674568146,0.3413864016900905,11.9,1.559852
16.44,0.13334,0.08339,0.1678657674568146,0.3459940709153557,11.9,1.586746
16.46,0.13447,0.08070000000000001,0.1678657674568146,0.34752996065711095,11.9,1.6001930000000002
16.48,0.13673,0.08877,0.1678657674568146,0.35213762988237574,11.9,1.627087
